attendance,home_initial,vis_initial,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,class,frac_season,day_hour,ref1,ref2,ref3,home_temp,travel_miles
18064,GSW,PHO,65.86214470284239,68.10554837456837,60.72136403299685,65.95362818270652,4.0,23.333333333333336,,,,,1,0.045454545454545456,22.5,Curtis Blair,Nick Buchert,John Goble,58.88,653.9
16539,ATL,MIA,64.99262990870585,44.189348043657205,71.48527408757823,60.91115465644516,4.0,19.0,103.33333333333331,101.0,113.0,115.33333333333331,0,0.05113636363636364,19.0,Tony Brothers,Eric Dalen,Karl Lane,55.42,604.2
16613,NOP,DEN,70.69413086913086,64.86215714641297,66.33954545454546,46.69672815392157,5.0,18.0,121.33333333333331,120.33333333333331,105.33333333333331,105.33333333333331,1,0.05113636363636364,21.5,Matt Boland,Courtney Kirkland,Ken Mauer,61.46,1080.8
19068,LAC,SAS,57.01159652690863,61.43438486244938,69.35806130708379,55.117406031240996,4.0,15.333333333333332,98.33333333333331,108.66666666666669,,,0,0.05113636363636364,22.5,Jonathan Sterling,Ben Taylor,Tom Washington,59.68,1203.5
17732,BRK,HOU,69.72072268009768,62.22779095904096,93.10456870502388,48.370646215380106,4.0,10.0,114.33333333333331,114.66666666666669,,,1,0.05681818181818181,19.0,Kevin Cutler,Marat Kogut,Ed Malloy,45.35,1419.7
16079,IND,CLE,68.94533618436682,43.38655746146609,73.76398305084746,28.708383838383842,4.0,16.333333333333332,,,108.33333333333331,97.33333333333331,0,0.05681818181818181,19.0,Sean Corbin,Mitchell Ervin,Matt Myers,33.46,557.3
15105,ORL,MIL,75.10818744934066,43.782738095238095,84.68414327306655,47.03511793448649,4.0,37.66666666666667,97.0,93.33333333333331,106.0,115.0,0,0.05681818181818181,19.0,Mark Ayotte,J.B. DeRosa,Michael Smith,73.87,1063.8
18624,BOS,NYK,84.81301248427059,26.69713227309737,67.1382111201999,42.79832474872798,4.0,19.0,104.33333333333331,110.66666666666669,104.0,98.0,0,0.05681818181818181,19.5,Kane Fitzgerald,Leroy Richardson,James Williams,57.24,190.5
20671,CHI,DET,62.07626373626374,58.10828484718277,55.20842650592874,66.12421832338964,4.0,13.0,,,115.66666666666669,112.66666666666669,0,0.05681818181818181,20.0,Pat Fraher,Evan Scott,Dedric Taylor,27.63,237.4
20358,DAL,LAL,79.22487548927293,48.48181729855958,76.0387136672851,45.42647359654854,6.0,23.66666666666667,113.33333333333331,112.33333333333331,,,1,0.05681818181818181,21.5,Mark Lindsay,Leon Wood,Sean Wright,47.13,1240.3
16273,SAC,UTA,79.63995726495726,45.85394701167107,79.58822886615962,37.70504789272032,4.0,10.333333333333332,106.66666666666669,102.33333333333331,97.33333333333331,94.33333333333331,0,0.05681818181818181,22.0,Nick Buchert,John Goble,J.T. Orr,43.0,533.5
18064,GSW,SAS,47.15892832857338,66.00876474883738,69.0626966943082,48.38321399377028,3.0,21.666666666666664,129.66666666666666,114.0,,,1,0.05681818181818181,22.5,Brent Barnaky,Eric Lewis,Aaron Smith,58.13,1489.6
18203,OKC,NOP,68.09139971139972,45.80751966343088,70.69413086913087,64.86215714641297,5.0,18.333333333333336,99.33333333333331,111.33333333333331,123.66666666666669,116.33333333333331,0,0.0625,17.0,Derrick Collins,David Guthrie,Andy Nagy,42.58,576.8
17222,DET,BRK,60.52962701678442,64.8051620620466,67.38366910866911,58.70770167332668,2.0,14.333333333333332,106.66666666666669,106.66666666666669,,,1,0.0625,19.0,Ray Acosta,Haywoode Workman,Zach Zarba,40.68,485.8
17025,ORL,DEN,76.7421160207692,40.94880952380953,66.33954545454546,46.69672815392157,3.0,23.33333333333333,99.0,91.0,101.0,99.66666666666669,0,0.0625,19.0,Brandon Adair,Eric Dalen,Brian Forte,75.04,1550.4
14144,MEM,PHO,58.586653575680934,52.67384725757608,60.72136403299685,65.95362818270652,7.0,20.0,119.0,113.66666666666669,107.66666666666669,114.0,0,0.0625,20.0,Tony Brothers,Natalie Sago,Scott Wall,46.08,1262.6
